MedInc,HouseAge,Latitude,Longitude,price
4.5428,52.0,37.8,-122.22,2.398
4.072,52.0,37.81,-122.22,2.701
5.3509,52.0,37.81,-122.22,3.021
3.1603,52.0,37.8,-122.23,2.695
4.7708,52.0,37.81,-122.23,3.147
8.1564,52.0,37.81,-122.22,3.901
8.8793,52.0,37.81,-122.23,4.103
6.8591,52.0,37.81,-122.24,3.524
6.0302,52.0,37.81,-122.24,2.873
7.508,52.0,37.81,-122.23,3.487
2.7477,52.0,37.81,-122.24,2.438
2.1944,52.0,37.8,-122.24,2.115
3.0149,52.0,37.8,-122.25,2.184
3.675,52.0,37.81,-122.24,2.699
3.225,46.0,37.81,-122.25,2.188
2.9345,42.0,37.8,-122.25,2.25
2.1429,43.0,37.8,-122.25,2.5
1.6121,41.0,37.8,-122.25,1.714
1.3929,29.0,37.8,-122.25,1.938
2.3173,27.0,37.79,-122.24,1.25
1.7772,45.0,37.79,-122.25,0.975
2.6458,50.0,37.79,-122.25,1.25
2.181,52.0,37.79,-122.25,1.388
2.2303,36.0,37.8,-122.25,1.167
1.6504,43.0,37.8,-122.25,1.518
2.2697,52.0,37.8,-122.24,1.27
2.1563,52.0,37.8,-122.24,1.286
2.1348,52.0,37.8,-122.24,1.406
2.6292,47.0,37.8,-122.24,1.827
2.3833,52.0,37.8,-122.23,1.469
2.957,52.0,37.8,-122.24,1.228
2.5238,49.0,37.8,-122.24,1.693
1.9375,52.0,37.8,-122.23,1.266
1.9028,51.0,37.8,-122.23,1.279
2.25,50.0,37.8,-122.23,1.235
2.3929,52.0,37.8,-122.23,1.119
2.1917,43.0,37.79,-122.23,1.128
2.9357,52.0,37.79,-122.23,1.079
1.8854,30.0,37.79,-122.23,1.375
2.1638,39.0,37.79,-122.24,1.055
2.125,47.0,37.79,-122.24,0.955
3.375,52.0,37.79,-122.24,1.161
2.2542,43.0,37.79,-122.24,1.122
2.1,51.0,37.79,-122.25,0.75
1.6,39.0,37.79,-122.25,1.125
3.625,52.0,37.79,-122.25,1.25
1.6929,20.0,37.8,-122.26,1.15
1.6471,52.0,37.77,-122.22,0.95
2.59,52.0,37.77,-122.22,0.964
2.57,52.0,37.77,-122.23,0.72
2.6429,52.0,37.78,-122.23,0.713
3.0257,52.0,37.78,-122.23,0.808
1.4886,50.0,37.78,-122.22,1.288
1.9338,43.0,37.78,-122.23,1.125
1.4844,52.0,37.78,-122.23,1.194
1.6009,44.0,37.78,-122.23,1.181
2.0375,48.0,37.79,-122.23,1.225
2.293,49.0,37.79,-122.23,1.063
2.1494,37.0,37.79,-122.22,1.325
1.6198,30.0,37.79,-122.23,1.227
1.3281,40.0,37.79,-122.23,1.133
3.5156,44.0,37.79,-122.22,1.095
3.9048,52.0,37.79,-122.22,1.647
3.0893,52.0,37.79,-122.21,1.25
2.6042,46.0,37.79,-122.22,1.247
2.5,49.0,37.79,-122.22,1.367
2.7969,38.0,37.79,-122.22,1.417
2.8321,29.0,37.79,-122.2,1.5
2.9583,47.0,37.79,-122.21,1.388
2.8365,34.0,37.79,-122.21,1.392
2.875,35.0,37.79,-122.21,1.438
3.0682,39.0,37.8,-122.21,1.565
3.0757,39.0,37.8,-122.21,1.51
4.9559,43.0,37.8,-122.2,2.73
4.7721,52.0,37.8,-122.2,2.171
3.4861,52.0,37.8,-122.21,1.871
5.1184,41.0,37.8,-122.2,2.396
4.0977,48.0,37.8,-122.21,2.297
4.744,48.0,37.8,-122.19,2.573
4.2727,46.0,37.8,-122.19,2.469
2.9844,50.0,37.79,-122.19,1.799
4.1739,40.0,37.79,-122.2,1.696
3.8487,46.0,37.8,-122.2,2.033
4.0114,52.0,37.8,-122.19,2.634
4.6563,45.0,37.79,-122.19,2.318
2.9297,28.0,37.79,-122.19,1.405
2.3036,35.0,37.79,-122.2,1.26
2.6667,49.0,37.79,-122.2,1.22
2.619,44.0,37.79,-122.2,1.347
2.4167,45.0,37.79,-122.21,1.394
2.7788,45.0,37.79,-122.2,1.154
2.7352,46.0,37.78,-122.21,1.373
1.8472,52.0,37.78,-122.21,1.37
2.6583,52.0,37.78,-122.21,1.426
3.0536,49.0,37.78,-122.21,1.375
2.3906,44.0,37.78,-122.22,1.117
1.7188,43.0,37.78,-122.21,1.268
2.625,47.0,37.78,-122.21,1.113
2.8015,40.0,37.77,-122.22,1.148
1.7276,50.0,37.78,-122.22,1.023
2.0801,44.0,37.78,-122.22,1.319
2.489,51.0,37.78,-122.22,1.191
1.7546,52.0,37.76,-122.21,0.806
4.0904,52.0,37.77,-122.21,0.806
2.6765,52.0,37.77,-122.21,0.888
2.4338,49.0,37.77,-122.2,1.024
2.3309,46.0,37.77,-122.21,0.987
2.2604,43.0,37.77,-122.21,1.0
1.8039,42.0,37.77,-122.19,0.923
2.2562,39.0,37.77,-122.2,0.948
2.0562,41.0,37.77,-122.2,1.02
3.5398,52.0,37.78,-122.2,1.584
3.1167,39.0,37.78,-122.2,1.216
2.5401,50.0,37.78,-122.2,1.291
2.898,43.0,37.77,-122.2,1.214
2.3125,44.0,37.78,-122.21,1.028
2.875,52.0,37.78,-122.19,1.6
3.3715,52.0,37.77,-122.19,1.439
3.5114,52.0,37.77,-122.19,1.512
4.3125,52.0,37.78,-122.19,1.644
3.22,52.0,37.78,-122.19,1.565
3.875,33.0,37.78,-122.18,2.25
5.2328,49.0,37.78,-122.19,1.742
3.7262,52.0,37.78,-122.19,1.669
4.5893,45.0,37.78,-122.2,1.635
5.2578,39.0,37.79,-122.18,2.53
7.0875,41.0,37.79,-122.18,2.407
3.9712,46.0,37.79,-122.18,2.081
2.9514,47.0,37.79,-122.19,1.981
2.6667,50.0,37.79,-122.19,1.728
5.4446,37.0,37.81,-122.18,3.367
6.2838,34.0,37.8,-122.18,3.182
6.7527,23.0,37.8,-122.18,2.858
7.0712,24.0,37.77,-122.13,2.93
5.9849,22.0,37.79,-122.16,3.71
3.6875,42.0,37.78,-122.17,1.573
2.875,30.0,37.77,-122.17,1.353
3.4205,43.0,37.78,-122.18,1.367
3.2984,50.0,37.78,-122.18,1.607
3.875,49.0,37.78,-122.17,1.406
4.175,52.0,37.78,-122.17,1.44
4.375,47.0,37.77,-122.16,1.619
4.7708,48.0,37.77,-122.16,1.563
3.5739,45.0,37.77,-122.16,1.76
3.0958,39.0,37.77,-122.16,1.458
3.3958,39.0,37.77,-122.17,1.419
1.871,31.0,37.77,-122.17,0.907
1.9356,41.0,37.76,-122.17,0.906
2.1842,47.0,37.76,-122.17,1.079
2.2917,37.0,37.76,-122.18,1.07
2.4333,38.0,37.76,-122.17,0.982
1.9479,50.0,37.76,-122.18,0.895
3.9063,52.0,37.76,-122.18,0.938
1.8407,49.0,37.76,-122.18,0.967
2.0786,27.0,37.77,-122.18,0.975
2.8125,42.0,37.77,-122.18,0.973
1.8913,43.0,37.76,-122.18,0.912
1.7056,49.0,37.76,-122.19,0.914
2.2768,52.0,37.77,-122.18,0.962
3.2552,51.0,37.77,-122.18,1.201
2.0556,52.0,37.77,-122.18,1.0
2.4659,52.0,37.76,-122.19,0.947
1.75,47.0,37.76,-122.2,0.857
2.0469,41.0,37.77,-122.19,0.893
2.7159,45.0,37.77,-122.19,1.014
1.2083,41.0,37.76,-122.19,0.725
1.925,45.0,37.76,-122.19,0.741
1.5809,36.0,37.75,-122.2,0.7
1.4097,37.0,37.76,-122.2,0.846
0.7683,38.0,37.76,-122.19,0.818
1.3194,19.0,37.75,-122.19,0.814
0.8012,28.0,37.75,-122.19,0.818
1.9479,26.0,37.76,-122.19,0.858
1.1765,36.0,37.74,-122.19,0.871
2.3456,42.0,37.74,-122.18,0.835
2.1538,44.0,37.73,-122.19,0.797
2.5139,43.0,37.74,-122.19,0.834
1.2625,45.0,37.73,-122.19,0.847
2.9063,42.0,37.73,-122.18,0.8
2.5192,43.0,37.73,-122.18,0.764
2.1111,44.0,37.73,-122.18,0.797
2.455,42.0,37.73,-122.18,0.824
2.4028,41.0,37.74,-122.17,0.977
2.15,47.0,37.74,-122.17,0.972
2.4776,43.0,37.74,-122.17,1.016
2.1587,43.0,37.73,-122.17,0.865
1.8438,35.0,37.74,-122.18,0.905
3.0298,46.0,37.74,-122.17,1.076
2.25,46.0,37.74,-122.17,0.842
2.2467,46.0,37.74,-122.18,0.889
4.0469,45.0,37.75,-122.18,0.807
1.325,46.0,37.75,-122.18,0.871
1.6196,38.0,37.75,-122.17,0.851
2.1731,45.0,37.75,-122.18,0.82
1.9167,36.0,37.75,-122.19,0.828
2.069,43.0,37.75,-122.18,0.846
1.712,36.0,37.75,-122.18,0.821
2.5625,33.0,37.76,-122.17,0.893
1.9821,43.0,37.75,-122.17,0.983
2.5043,41.0,37.75,-122.17,0.923
2.3281,44.0,37.75,-122.17,0.888
1.4375,48.0,37.75,-122.17,0.9
2.5122,45.0,37.76,-122.16,0.955
1.5625,38.0,37.75,-122.16,0.917
3.1587,47.0,37.75,-122.17,1.004
1.8426,40.0,37.76,-122.17,0.948
4.6696,46.0,37.76,-122.16,1.643
2.4598,36.0,37.76,-122.16,1.555
6.0749,39.0,37.76,-122.15,1.969
4.8304,27.0,37.77,-122.14,2.791
5.5701,34.0,37.76,-122.14,2.528
5.37,26.0,37.76,-122.13,2.754
6.86,33.0,37.75,-122.12,2.5
7.6923,28.0,37.75,-122.12,3.298
4.0313,36.0,37.75,-122.14,1.955
6.8323,33.0,37.75,-122.14,2.559
4.975,30.0,37.75,-122.13,3.111
5.3602,36.0,37.75,-122.13,3.3
5.0,41.0,37.74,-122.13,2.489
2.925,46.0,37.75,-122.16,1.429
3.8913,40.0,37.75,-122.15,1.263
3.225,44.0,37.75,-122.15,1.358
3.1458,41.0,37.74,-122.15,1.306
2.537,24.0,37.75,-122.16,1.079
2.5568,44.0,37.75,-122.16,1.111
3.5083,43.0,37.74,-122.15,1.22
3.3125,49.0,37.74,-122.15,1.18
1.8235,40.0,37.75,-122.16,0.952
3.8047,35.0,37.75,-122.16,0.943
2.2917,34.0,37.74,-122.17,0.925
2.4962,37.0,37.75,-122.17,0.918
4.0417,43.0,37.74,-122.16,1.094
3.4844,46.0,37.74,-122.16,1.295
4.1458,52.0,37.74,-122.16,1.434
2.625,47.0,37.74,-122.16,0.982
2.0227,44.0,37.74,-122.16,1.031
3.3333,49.0,37.9,-122.29,2.768
5.338,52.0,37.9,-122.29,2.709
3.4732,52.0,37.89,-122.29,2.462
3.5125,38.0,37.9,-122.3,2.242
3.1375,52.0,37.89,-122.29,2.291
2.8036,46.0,37.89,-122.3,2.116
4.5824,15.0,37.9,-122.3,2.561
3.0208,36.0,37.89,-122.3,2.063
4.0875,52.0,37.89,-122.3,2.213
4.5268,42.0,37.89,-122.33,2.074
1.7375,37.0,37.88,-122.34,3.5
3.1795,52.0,37.89,-122.29,2.182
3.8672,50.0,37.88,-122.29,2.167
5.1675,52.0,37.89,-122.29,2.706
5.1696,52.0,37.89,-122.29,2.614
4.2614,52.0,37.88,-122.28,2.613
5.0551,52.0,37.89,-122.29,2.322
5.6228,42.0,37.9,-122.27,3.754
7.8864,52.0,37.9,-122.26,3.573
7.9556,52.0,37.9,-122.27,3.744
6.174,52.0,37.9,-122.27,3.588
6.9414,52.0,37.9,-122.27,4.175
8.8342,52.0,37.89,-122.27,4.305
7.1754,52.0,37.9,-122.28,3.629
4.9083,52.0,37.9,-122.28,3.468
5.7912,52.0,37.89,-122.28,3.271
4.5893,52.0,37.89,-122.28,2.901
5.4171,52.0,37.89,-122.28,2.92
4.125,52.0,37.89,-122.28,2.709
7.266,52.0,37.89,-122.27,3.711
5.3989,52.0,37.89,-122.27,3.356
7.8336,37.0,37.9,-122.26,3.713
6.1593,41.0,37.89,-122.25,3.44
6.381,52.0,37.89,-122.26,3.422
6.6828,52.0,37.89,-122.26,3.709
7.5385,37.0,37.89,-122.25,3.5
6.7138,42.0,37.89,-122.25,3.686
6.2425,52.0,37.88,-122.26,3.918
5.7979,52.0,37.88,-122.26,4.153
4.2813,52.0,37.88,-122.27,2.849
3.5417,52.0,37.88,-122.27,2.875
3.0132,44.0,37.88,-122.27,2.729
4.1429,52.0,37.88,-122.28,2.596
4.1912,52.0,37.88,-122.28,2.545
3.9167,52.0,37.88,-122.28,2.356
3.8897,52.0,37.88,-122.29,2.184
3.1065,48.0,37.88,-122.29,2.292
2.9926,46.0,37.88,-122.29,1.921
3.556,52.0,37.88,-122.29,1.793
1.475,45.0,37.88,-122.3,1.875
1.6971,52.0,37.88,-122.3,1.388
2.1705,10.0,37.87,-122.3,1.5
2.75,50.0,37.86,-122.3,1.406
2.5682,52.0,37.85,-122.29,1.2
2.9,46.0,37.88,-122.3,1.448
2.2208,52.0,37.87,-122.3,1.448
3.2344,52.0,37.88,-122.28,2.455
3.5156,52.0,37.87,-122.28,2.0
1.9805,49.0,37.87,-122.28,1.737
2.6684,50.0,37.87,-122.29,1.856
3.875,52.0,37.87,-122.29,1.826
3.006,52.0,37.88,-122.28,2.279
2.543,46.0,37.87,-122.28,2.207
2.8676,46.0,37.87,-122.28,2.12
2.1907,52.0,37.88,-122.27,2.714
1.7778,30.0,37.87,-122.27,2.688
2.52,37.0,37.88,-122.27,2.778
4.2788,52.0,37.88,-122.26,3.325
2.944,52.0,37.88,-122.26,3.389
1.725,52.0,37.88,-122.26,2.875
5.2289,41.0,37.87,-122.25,3.846
2.5562,42.0,37.87,-122.25,3.714
0.949,52.0,37.87,-122.25,3.5
1.4012,52.0,37.87,-122.26,1.75
1.1859,52.0,37.87,-122.26,2.417
1.7464,35.0,37.87,-122.27,2.167
2.8846,49.0,37.87,-122.27,2.113
2.7372,52.0,37.87,-122.27,2.102
3.8594,52.0,37.86,-122.28,1.964
3.5625,52.0,37.87,-122.28,1.917
2.2788,52.0,37.87,-122.28,1.823
2.537,44.0,37.87,-122.29,1.75
2.525,46.0,37.87,-122.29,1.659
1.9946,52.0,37.86,-122.29,1.569
2.8214,52.0,37.86,-122.28,1.643
2.6165,52.0,37.87,-122.29,1.5
1.9483,50.0,37.86,-122.29,1.505
1.9327,52.0,37.86,-122.28,1.699
1.9798,49.0,37.86,-122.28,1.474
2.4167,52.0,37.85,-122.28,1.527
2.5417,49.0,37.86,-122.27,1.827
3.3906,52.0,37.86,-122.28,1.793
2.5652,52.0,37.86,-122.28,1.577
2.2845,41.0,37.86,-122.28,1.531
2.6071,52.0,37.86,-122.27,2.5
3.15,52.0,37.86,-122.27,2.063
2.6914,52.0,37.86,-122.27,2.188
1.8447,52.0,37.86,-122.27,1.982
1.6307,35.0,37.86,-122.26,2.536
2.9044,52.0,37.86,-122.26,2.574
2.9405,52.0,37.86,-122.26,2.895
3.3893,52.0,37.86,-122.26,2.417
3.0417,48.0,37.86,-122.25,4.896
7.0897,52.0,37.86,-122.25,4.462
5.0463,52.0,37.86,-122.25,4.563
1.7652,52.0,37.86,-122.25,3.368
5.3794,52.0,37.86,-122.25,3.769
3.2619,52.0,37.85,-122.26,3.096
2.7054,52.0,37.85,-122.27,1.823
2.2431,47.0,37.85,-122.27,1.727
1.9028,50.0,37.85,-122.27,1.508
1.5817,52.0,37.85,-122.27,1.536
2.2841,52.0,37.85,-122.27,1.063
1.3785,47.0,37.85,-122.27,1.423
2.9018,52.0,37.85,-122.28,1.194
1.73,44.0,37.85,-122.28,1.479
2.2625,48.0,37.85,-122.28,1.329
2.2106,35.0,37.84,-122.29,1.325
2.6997,52.0,37.83,-122.28,1.269
4.0018,14.0,37.84,-122.3,1.438
8.1872,52.0,37.82,-122.23,4.661
5.8948,52.0,37.83,-122.24,4.578
8.1194,52.0,37.83,-122.24,4.716
6.155,52.0,37.82,-122.24,3.986
5.883,52.0,37.82,-122.25,3.407
5.2128,52.0,37.76,-122.23,2.899
4.7188,52.0,37.76,-122.23,3.353
5.2915,52.0,37.76,-122.23,3.33
2.6411,52.0,37.77,-122.24,2.41
3.3214,52.0,37.77,-122.23,1.896
3.6417,52.0,37.77,-122.24,2.063
3.0161,52.0,37.77,-122.25,2.157
3.1771,52.0,37.77,-122.25,2.102
3.4531,52.0,37.77,-122.25,2.088
4.3098,52.0,37.77,-122.25,1.979
3.3438,52.0,37.78,-122.26,2.013
2.9213,52.0,37.78,-122.26,1.908
2.6806,52.0,37.78,-122.27,2.079
3.7708,52.0,37.78,-122.27,2.153
3.9444,45.0,37.78,-122.27,2.129
5.2601,13.0,37.78,-122.27,2.927
2.5444,30.0,37.79,-122.28,2.75
2.6447,42.0,37.77,-122.3,2.0
2.5762,29.0,37.78,-122.28,1.734
1.9427,42.0,37.78,-122.29,1.022
2.9688,52.0,37.77,-122.28,2.208
3.75,27.0,37.77,-122.28,2.428
5.1702,18.0,37.76,-122.29,2.654
2.5139,50.0,37.78,-122.28,2.19
2.9732,52.0,37.77,-122.26,2.821
5.5337,52.0,37.77,-122.27,3.72
4.1667,52.0,37.77,-122.27,2.258
2.7115,52.0,37.77,-122.27,2.208
3.3269,52.0,37.77,-122.27,2.345
3.2685,52.0,37.77,-122.25,2.542
4.7778,52.0,37.77,-122.26,3.518
4.226,52.0,37.77,-122.26,2.75
3.3571,52.0,37.77,-122.26,4.054
2.9899,52.0,37.77,-122.26,2.281
2.875,52.0,37.77,-122.26,2.34
2.3882,43.0,37.77,-122.24,1.625
2.975,43.0,37.77,-122.25,2.434
5.1039,52.0,37.76,-122.23,2.738
4.1458,52.0,37.76,-122.23,2.485
3.4762,52.0,37.76,-122.24,2.44
2.6833,52.0,37.76,-122.24,2.409
5.75,52.0,37.76,-122.23,3.063
3.9632,50.0,37.75,-122.23,2.4
4.9489,45.0,37.75,-122.24,2.471
4.8711,27.0,37.75,-122.24,2.866
3.0718,52.0,37.76,-122.24,2.667
3.6719,49.0,37.76,-122.24,2.298
4.6094,52.0,37.76,-122.24,2.293
4.5213,21.0,37.73,-122.24,2.284
4.4562,25.0,37.74,-122.25,2.062
7.611,5.0,37.72,-122.24,3.507
3.2689,31.0,37.73,-122.27,2.31
3.567,52.0,37.76,-122.25,2.529
3.6875,28.0,37.74,-122.27,3.539
4.7695,23.0,37.77,-122.27,2.917
3.1972,20.0,37.75,-122.28,1.0
7.2634,12.0,37.77,-122.06,3.416
7.0568,5.0,37.73,-122.06,4.125
4.635,36.0,37.71,-122.06,2.486
5.3015,40.0,37.71,-122.07,2.549
4.9801,36.0,37.71,-122.07,2.415
5.4834,26.0,37.72,-122.07,2.952
6.187,31.0,37.72,-122.08,3.404
5.6194,32.0,37.72,-122.08,2.747
5.4639,35.0,37.71,-122.08,2.386
5.1498,35.0,37.71,-122.09,2.664
5.8382,30.0,37.72,-122.1,3.302
4.65,36.0,37.71,-122.11,2.068
4.3819,25.0,37.7,-122.1,2.092
3.7222,30.0,37.69,-122.1,1.958
5.2855,31.0,37.71,-122.09,2.535
4.3375,31.0,37.7,-122.09,2.418
5.2131,27.0,37.71,-122.1,2.525
6.005,30.0,37.7,-122.09,2.639
5.0519,38.0,37.71,-122.08,2.27
4.8237,38.0,37.71,-122.08,2.209
5.2497,32.0,37.7,-122.08,2.593
4.125,39.0,37.7,-122.07,2.325
4.6005,37.0,37.7,-122.06,2.316
3.5187,33.0,37.7,-122.06,2.094
3.0,32.0,37.7,-122.07,2.232
3.4934,25.0,37.7,-122.08,2.099
2.9861,33.0,37.7,-122.09,2.082
2.5362,29.0,37.69,-122.07,2.038
3.3021,36.0,37.69,-122.08,1.957
3.0964,31.0,37.69,-122.07,1.905
2.8512,43.0,37.69,-122.08,1.81
3.3478,42.0,37.69,-122.08,1.849
2.3958,37.0,37.68,-122.08,1.908
3.5295,15.0,37.68,-122.08,2.422
4.8036,20.0,37.69,-122.09,1.883
3.851,52.0,37.74,-122.15,1.835
4.0662,52.0,37.74,-122.14,2.042
4.6042,51.0,37.73,-122.14,2.519
2.2,49.0,37.74,-122.15,1.875
4.1164,52.0,37.73,-122.16,1.982
3.95,52.0,37.74,-122.15,2.19
4.9135,52.0,37.73,-122.15,2.75
2.8355,45.0,37.73,-122.15,2.454
3.25,46.0,37.73,-122.17,1.775
2.8301,49.0,37.73,-122.16,1.716
3.7159,52.0,37.73,-122.17,1.833
2.5625,52.0,37.73,-122.16,1.75
3.8047,45.0,37.72,-122.18,1.567
3.375,45.0,37.71,-122.18,1.575
3.244,38.0,37.71,-122.17,1.798
4.0268,36.0,37.7,-122.18,2.055
3.3906,35.0,37.7,-122.18,1.789
5.5461,36.0,37.71,-122.19,2.625
3.371,42.0,37.72,-122.17,1.65
3.5313,46.0,37.72,-122.17,1.597
3.663,5.0,37.72,-122.17,1.583
2.875,38.0,37.72,-122.16,1.448
4.0202,43.0,37.72,-122.17,1.663
4.5553,37.0,37.71,-122.16,1.91
3.4643,36.0,37.71,-122.16,1.75
3.3431,10.0,37.72,-122.16,1.375
2.1898,28.0,37.73,-122.15,1.417
2.9097,31.0,37.72,-122.15,2.109
3.375,47.0,37.72,-122.15,1.983
2.8125,29.0,37.72,-122.15,1.574
5.0,52.0,37.73,-122.14,2.647
3.0673,38.0,37.73,-122.14,2.184
3.8125,43.0,37.73,-122.14,2.351
6.9096,33.0,37.73,-122.13,3.418
7.912,26.0,37.72,-122.13,3.673
3.8393,35.0,37.72,-122.13,2.435
4.0,35.0,37.71,-122.12,1.679
6.5095,25.0,37.72,-122.13,3.712
3.5156,39.0,37.72,-122.14,2.189
2.983,45.0,37.72,-122.14,2.027
